Model,Model_Key,Fit_Stage,Year,CO2_ppm,Observed_Temperature_Change_From_1951_1980_C,Fitted_Temperature_Change_From_1951_1980_C,Residual_C,Absolute_Residual_C
Linear CO2,linear_co2,training_data,1998,366.84,0.61,0.4490865004771063,0.1609134995228937,0.1609134995228937
Linear CO2,linear_co2,training_data,1999,368.54,0.38,0.4667801006937662,-0.08678010069376618,0.08678010069376618
Linear CO2,linear_co2,training_data,2000,369.71,0.39,0.4789574608428788,-0.08895746084287881,0.08895746084287881
Linear CO2,linear_co2,training_data,2001,371.32,0.53,0.49571434104806844,0.034285658951931586,0.034285658951931586
Linear CO2,linear_co2,training_data,2002,373.45,0.63,0.51788338131953,0.11211661868046996,0.11211661868046996
Linear CO2,linear_co2,training_data,2003,375.98,0.62,0.5442156216419711,0.07578437835802887,0.07578437835802887
Linear CO2,linear_co2,training_data,2004,377.7,0.53,0.5621173818611793,-0.032117381861179295,0.032117381861179295
Linear CO2,linear_co2,training_data,2005,379.98,0.67,0.5858476221517583,0.0841523778482417,0.0841523778482417
Linear CO2,linear_co2,training_data,2006,382.09,0.63,0.6078085024206707,0.022191497579329256,0.022191497579329256
Linear CO2,linear_co2,training_data,2007,384.02,0.66,0.6278959426666435,0.03210405733335653,0.03210405733335653
Linear CO2,linear_co2,training_data,2008,385.83,0.54,0.6467344228973224,-0.10673442289732238,0.10673442289732238
Linear CO2,linear_co2,training_data,2009,387.64,0.65,0.6655729031280013,-0.015572903128001303,0.015572903128001303
Linear CO2,linear_co2,training_data,2010,390.1,0.72,0.6911765834415209,0.028823416558479087,0.028823416558479087
Linear CO2,linear_co2,training_data,2011,391.85,0.61,0.7093905836645527,-0.09939058366455267,0.09939058366455267
Linear CO2,linear_co2,test_data,2012,394.06,0.65,0.7323922639462102,-0.08239226394621013,0.08239226394621013
Linear CO2,linear_co2,test_data,2013,396.74,0.67,0.7602857042877678,-0.09028570428776772,0.09028570428776772
Linear CO2,linear_co2,test_data,2014,398.81,0.74,0.7818302645515831,-0.04183026455158312,0.04183026455158312
Linear CO2,linear_co2,test_data,2015,401.01,0.89,0.8047278648319662,0.08527213516803378,0.08527213516803378
Linear CO2,linear_co2,test_data,2016,404.41,1.01,0.840115065265286,0.169884934734714,0.169884934734714
Linear CO2,linear_co2,test_data,2017,406.76,0.92,0.8645738655647857,0.05542613443521438,0.05542613443521438
Linear CO2,linear_co2,test_data,2018,408.72,0.84,0.884973545814582,-0.04497354581458202,0.04497354581458202
Linear CO2,linear_co2,test_data,2019,411.66,0.97,0.9155730661892751,0.05442693381072483,0.05442693381072483
Linear CO2,linear_co2,test_data,2020,414.24,1.02,0.9424257065180881,0.07757429348191192,0.07757429348191192
Linear CO2,linear_co2,test_data,2021,416.45,0.84,0.9654273867997456,-0.12542738679974563,0.12542738679974563
