Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Quadratic time trend,quadratic_time,full_data,2159,8.085211600899102,2021,0.84,7.245211600899102
Quadratic time trend,quadratic_time,full_data,2160,8.160937250249752,2021,0.84,7.320937250249752
Quadratic time trend,quadratic_time,full_data,2161,8.23701150932401,2021,0.84,7.39701150932401
Quadratic time trend,quadratic_time,full_data,2162,8.31343437812188,2021,0.84,7.47343437812188
Quadratic time trend,quadratic_time,full_data,2163,8.390205856643357,2021,0.84,7.550205856643357
Quadratic time trend,quadratic_time,full_data,2164,8.467325944888447,2021,0.84,7.627325944888447
Quadratic time trend,quadratic_time,full_data,2165,8.544794642857143,2021,0.84,7.704794642857143
Quadratic time trend,quadratic_time,full_data,2166,8.622611950549452,2021,0.84,7.782611950549452
Quadratic time trend,quadratic_time,full_data,2167,8.70077786796537,2021,0.84,7.8607778679653695
Quadratic time trend,quadratic_time,full_data,2168,8.779292395104896,2021,0.84,7.939292395104896
Quadratic time trend,quadratic_time,full_data,2169,8.858155531968032,2021,0.84,8.018155531968032
Quadratic time trend,quadratic_time,full_data,2170,8.93736727855478,2021,0.84,8.09736727855478
Quadratic time trend,quadratic_time,full_data,2171,9.016927634865135,2021,0.84,8.176927634865136
Quadratic time trend,quadratic_time,full_data,2172,9.0968366008991,2021,0.84,8.256836600899101
Quadratic time trend,quadratic_time,full_data,2173,9.177094176656677,2021,0.84,8.337094176656677
Quadratic time trend,quadratic_time,full_data,2174,9.257700362137863,2021,0.84,8.417700362137863
Quadratic time trend,quadratic_time,full_data,2175,9.338655157342659,2021,0.84,8.49865515734266
Quadratic time trend,quadratic_time,full_data,2176,9.419958562271063,2021,0.84,8.579958562271063
Quadratic time trend,quadratic_time,full_data,2177,9.501610576923078,2021,0.84,8.661610576923078
Quadratic time trend,quadratic_time,full_data,2178,9.583611201298703,2021,0.84,8.743611201298704
Quadratic time trend,quadratic_time,full_data,2179,9.665960435397936,2021,0.84,8.825960435397937
Quadratic time trend,quadratic_time,full_data,2180,9.74865827922078,2021,0.84,8.90865827922078
Quadratic time trend,quadratic_time,full_data,2181,9.831704732767234,2021,0.84,8.991704732767234
Quadratic time trend,quadratic_time,full_data,2182,9.915099796037298,2021,0.84,9.075099796037298
Quadratic time trend,quadratic_time,full_data,2183,9.99884346903097,2021,0.84,9.15884346903097
Quadratic time trend,quadratic_time,full_data,2184,10.082935751748252,2021,0.84,9.242935751748252
Quadratic time trend,quadratic_time,full_data,2185,10.167376644189146,2021,0.84,9.327376644189146
Quadratic time trend,quadratic_time,full_data,2186,10.252166146353648,2021,0.84,9.412166146353648
Quadratic time trend,quadratic_time,full_data,2187,10.337304258241758,2021,0.84,9.497304258241758
Quadratic time trend,quadratic_time,full_data,2188,10.422790979853481,2021,0.84,9.582790979853481
Quadratic time trend,quadratic_time,full_data,2189,10.508626311188813,2021,0.84,9.668626311188813
Quadratic time trend,quadratic_time,full_data,2190,10.594810252247754,2021,0.84,9.754810252247754
Quadratic time trend,quadratic_time,full_data,2191,10.681342803030304,2021,0.84,9.841342803030305
Quadratic time trend,quadratic_time,full_data,2192,10.768223963536464,2021,0.84,9.928223963536464
Quadratic time trend,quadratic_time,full_data,2193,10.855453733766236,2021,0.84,10.015453733766236
Quadratic time trend,quadratic_time,full_data,2194,10.943032113719614,2021,0.84,10.103032113719614
Quadratic time trend,quadratic_time,full_data,2195,11.030959103396604,2021,0.84,10.190959103396604
Quadratic time trend,quadratic_time,full_data,2196,11.119234702797204,2021,0.84,10.279234702797204
Quadratic time trend,quadratic_time,full_data,2197,11.207858911921413,2021,0.84,10.367858911921413
Quadratic time trend,quadratic_time,full_data,2198,11.296831730769231,2021,0.84,10.456831730769231
Quadratic time trend,quadratic_time,full_data,2199,11.38615315934066,2021,0.84,10.54615315934066
Quadratic time trend,quadratic_time,full_data,2200,11.4758231976357,2021,0.84,10.6358231976357
Quadratic time trend,quadratic_time,training_data,2022,1.0193161450708619,2021,0.84,0.1793161450708619
Quadratic time trend,quadratic_time,training_data,2023,1.0479427972446838,2021,0.84,0.20794279724468379
Quadratic time trend,quadratic_time,training_data,2024,1.0769329957254483,2021,0.84,0.23693299572544835
Quadratic time trend,quadratic_time,training_data,2025,1.1062867405131553,2021,0.84,0.2662867405131554
Quadratic time trend,quadratic_time,training_data,2026,1.136004031607805,2021,0.84,0.2960040316078051
Quadratic time trend,quadratic_time,training_data,2027,1.1660848690093968,2021,0.84,0.3260848690093968
Quadratic time trend,quadratic_time,training_data,2028,1.1965292527179314,2021,0.84,0.35652925271793146
Quadratic time trend,quadratic_time,training_data,2029,1.2273371827334087,2021,0.84,0.3873371827334088
Quadratic time trend,quadratic_time,training_data,2030,1.2585086590558283,2021,0.84,0.41850865905582835
Quadratic time trend,quadratic_time,training_data,2031,1.2900436816851906,2021,0.84,0.4500436816851906
Quadratic time trend,quadratic_time,training_data,2032,1.3219422506214953,2021,0.84,0.4819422506214953
Quadratic time trend,quadratic_time,training_data,2033,1.3542043658647427,2021,0.84,0.5142043658647427
Quadratic time trend,quadratic_time,training_data,2034,1.3868300274149326,2021,0.84,0.5468300274149326
Quadratic time trend,quadratic_time,training_data,2035,1.4198192352720649,2021,0.84,0.5798192352720649
Quadratic time trend,quadratic_time,training_data,2036,1.45317198943614,2021,0.84,0.6131719894361399
Quadratic time trend,quadratic_time,training_data,2037,1.4868882899071572,2021,0.84,0.6468882899071572
Quadratic time trend,quadratic_time,training_data,2038,1.520968136685117,2021,0.84,0.6809681366851171
Quadratic time trend,quadratic_time,training_data,2039,1.5554115297700197,2021,0.84,0.7154115297700198
Quadratic time trend,quadratic_time,training_data,2040,1.5902184691618648,2021,0.84,0.7502184691618649
Quadratic time trend,quadratic_time,training_data,2041,1.6253889548606524,2021,0.84,0.7853889548606524
Quadratic time trend,quadratic_time,training_data,2042,1.6609229868663824,2021,0.84,0.8209229868663824
Quadratic time trend,quadratic_time,training_data,2043,1.696820565179055,2021,0.84,0.8568205651790551
Quadratic time trend,quadratic_time,training_data,2044,1.7330816897986703,2021,0.84,0.8930816897986703
Quadratic time trend,quadratic_time,training_data,2045,1.769706360725228,2021,0.84,0.9297063607252279
Quadratic time trend,quadratic_time,training_data,2046,1.8066945779587282,2021,0.84,0.9666945779587283
Quadratic time trend,quadratic_time,training_data,2047,1.844046341499171,2021,0.84,1.004046341499171
Quadratic time trend,quadratic_time,training_data,2048,1.8817616513465563,2021,0.84,1.0417616513465564
Quadratic time trend,quadratic_time,training_data,2049,1.919840507500884,2021,0.84,1.079840507500884
Quadratic time trend,quadratic_time,training_data,2050,1.9582829099621544,2021,0.84,1.1182829099621543
Quadratic time trend,quadratic_time,training_data,2051,1.9970888587303672,2021,0.84,1.1570888587303672
Quadratic time trend,quadratic_time,training_data,2052,2.036258353805523,2021,0.84,1.196258353805523
Quadratic time trend,quadratic_time,training_data,2053,2.0757913951876206,2021,0.84,1.2357913951876207
Quadratic time trend,quadratic_time,training_data,2054,2.1156879828766613,2021,0.84,1.2756879828766614
Quadratic time trend,quadratic_time,training_data,2055,2.155948116872644,2021,0.84,1.3159481168726441
Quadratic time trend,quadratic_time,training_data,2056,2.1965717971755696,2021,0.84,1.3565717971755697
Quadratic time trend,quadratic_time,training_data,2057,2.2375590237854377,2021,0.84,1.3975590237854378
