Model,Model_Source,Year,Forecast_CO2_ppm
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2081,618.8034275290291
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2082,623.0549803278307
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2083,627.3352667995811
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2084,631.6442869442803
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2085,635.9820407619287
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2086,640.3485282525263
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2087,644.743749416073
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2088,649.1677042525686
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2089,653.6203927620132
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2090,658.1018149444068
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2091,662.6119707997495
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2092,667.1508603280413
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2093,671.7184835292818
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2094,676.3148404034715
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2095,680.9399309506102
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2096,685.5937551706983
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2097,690.2763130637351
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2098,694.9876046297209
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2099,699.7276298686558
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2100,704.4963887805399
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2101,709.2938813653731
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2102,714.1201076231551
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2103,718.9750675538862
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2104,723.8587611575663
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2105,728.7711884341957
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2106,733.7123493837739
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2107,738.6822440063011
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2108,743.6808723017772
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2109,748.7082342702024
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2110,753.764329911577
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2111,758.8491592259003
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2112,763.9627222131727
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2113,769.1050188733942
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2114,774.2760492065646
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2115,779.4758132126844
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2116,784.7043108917529
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2117,789.9615422437705
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2118,795.2475072687371
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2119,800.562205966653
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2120,805.9056383375178
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2121,811.2778043813314
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2122,816.6787040980939
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2123,822.1083374878058
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2124,827.5667045504669
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2125,833.0538052860767
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2126,838.5696396946355
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2127,844.1142077761434
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2128,849.6875095306006
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2129,855.2895449580068
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2130,860.9203140583618
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2131,866.5798168316659
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2132,872.268053277919
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2133,877.9850233971214
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2134,883.7307271892727
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2135,889.5051646543728
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2136,895.3083357924219
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2137,901.1402406034202
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2138,907.0008790873677
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2139,912.8902512442642
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2140,918.8083570741095
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2141,924.7551965769039
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2142,930.7307697526476
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2143,936.7350766013401
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2144,942.7681171229818
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2145,948.8298913175723
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2146,954.9203991851119
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2147,961.0396407256007
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2148,967.1876159390386
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2149,973.3643248254252
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2150,979.5697673847609
"SARIMA(1,1,1)(2,1,2,12)",sarima_full_data_annual_mean,2151,985.8039436170458
