Sigma,Simulation,Model,Model_Key,Model_Family,RMSE,MAE,MAPE,R2,Perturbation_Std_ppm,Test_Comparison_Target,Status,Rank_By_RMSE,Is_Best_By_RMSE
0.5,75,Cubic,cubic,annual_fit,2.0766437474687924,1.7957479702731802,0.43875728451411233,0.9169803530003966,0.5,original_true_test_data,,3.0,False
0.5,75,Quartic,quartic,annual_fit,5.115037583235663,4.486195320165985,1.0969217116781145,0.4963201894777375,0.5,original_true_test_data,,4.0,False
0.5,75,Exponential,exponential,annual_fit,8.830925795568085,8.492930234849576,2.0856086427526286,-0.501306468497861,0.5,original_true_test_data,,5.0,False
0.5,75,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.43483863611647,1.2073557626887577,0.2947677235822029,0.9603664467447759,0.5,original_true_test_data,ok,2.0,False
0.5,69,Quadratic,quadratic,annual_fit,1.3400761629698121,1.114580509825106,0.2720290410760845,0.9654286889983728,0.5,original_true_test_data,,2.0,False
0.5,69,Cubic,cubic,annual_fit,2.0372020661529047,1.7494291517697491,0.4273212122826853,0.9201039882484444,0.5,original_true_test_data,,3.0,False
0.5,69,Quartic,quartic,annual_fit,5.83166853436789,5.127221491379311,1.2537394832043494,0.345299689056499,0.5,original_true_test_data,,4.0,False
0.5,69,Exponential,exponential,annual_fit,8.58150189815431,8.23877427040004,2.022961489955393,-0.41769722924276476,0.5,original_true_test_data,,5.0,False
0.5,69,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.283302830618554,1.0584199441357782,0.2582360793209852,0.9682959175169148,0.5,original_true_test_data,ok,1.0,True
0.5,74,Quadratic,quadratic,annual_fit,1.6164019880995997,1.3755254610828558,0.33593441480922376,0.9497014301699174,0.5,original_true_test_data,,2.0,False
0.5,74,Cubic,cubic,annual_fit,1.8416416177299872,1.590354239175582,0.38858773307081734,0.9347069244310546,0.5,original_true_test_data,,3.0,False
0.5,74,Quartic,quartic,annual_fit,3.9246907736839023,3.4341821594672695,0.839706547258437,0.7034705899456213,0.5,original_true_test_data,,4.0,False
0.5,74,Exponential,exponential,annual_fit,8.674164033026093,8.331963800287445,2.045912102835191,-0.4484788094375396,0.5,original_true_test_data,,5.0,False
0.5,74,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.0050922703728735,0.813145582200599,0.19841764453288552,0.9805522774089862,0.5,original_true_test_data,ok,1.0,True
0.5,68,Quadratic,quadratic,annual_fit,1.998143858402253,1.7588646306189446,0.4300905765332981,0.923138228503893,0.5,original_true_test_data,,2.0,False
0.5,68,Cubic,cubic,annual_fit,3.895601973867625,3.5385336468199453,0.8662773851268953,0.7078499000441058,0.5,original_true_test_data,,4.0,False
0.5,68,Quartic,quartic,annual_fit,1.6595302454707492,1.2547660511607148,0.30548895027548023,0.9469815253626668,0.5,original_true_test_data,,1.0,True
0.5,68,Exponential,exponential,annual_fit,8.563718183679931,8.219784639923796,2.0182675019012764,-0.41182744110839953,0.5,original_true_test_data,,5.0,False
0.5,68,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,2.7271725829809284,2.518578516809504,0.617150466977377,0.8568200754829698,0.5,original_true_test_data,ok,3.0,False
0.5,65,Quadratic,quadratic,annual_fit,1.5535820812167644,1.31800798199601,0.32186138632426264,0.9535350695078924,0.5,original_true_test_data,,2.0,False
0.5,65,Cubic,cubic,annual_fit,3.301688182974826,2.9671929627601514,0.7260672959577193,0.7901403252106864,0.5,original_true_test_data,,3.0,False
0.5,65,Quartic,quartic,annual_fit,4.846893416578097,4.152620836575693,1.0144368765457632,0.5477445343520361,0.5,original_true_test_data,,4.0,False
0.5,65,Exponential,exponential,annual_fit,8.715977077337962,8.376703882792043,2.0569734236784023,-0.4624769960714694,0.5,original_true_test_data,,5.0,False
0.5,65,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,1.3165497847364827,1.0815419697542155,0.2639002499222107,0.9666319015946644,0.5,original_true_test_data,ok,1.0,True
0.5,73,Quadratic,quadratic,annual_fit,1.732210946557984,1.4923967779230396,0.3646389464837317,0.9422358426518189,0.5,original_true_test_data,,2.0,False
0.5,73,Cubic,cubic,annual_fit,2.389335808160277,2.114249183779492,0.5170514534485334,0.8900965645044178,0.5,original_true_test_data,,3.0,False
0.5,73,Quartic,quartic,annual_fit,5.152036406224591,4.474782263922248,1.0936980760618225,0.48900725832107117,0.5,original_true_test_data,,4.0,False
0.5,73,Exponential,exponential,annual_fit,8.652093552112989,8.308974164513382,2.0402377049263802,-0.44111718855369086,0.5,original_true_test_data,,5.0,False
0.5,73,"SARIMA(1,1,1)(2,1,2,12)",sarima_1_1_1_2_1_2_12,monthly_sarima_annualized,0.8561863387845251,0.711421227626522,0.17379666714879977,0.9858878406151629,0.5,original_true_test_data,ok,1.0,True
0.5,77,Quadratic,quadratic,annual_fit,1.260795890663112,1.0410917664718056,0.2540588261793141,0.969398236526191,0.5,original_true_test_data,,1.0,True
