Model,Model_Key,Fit_Stage,Year,Forecast_Temperature_Change_From_1951_1980_C,Reference_Year,Reference_Temperature_Change_From_1951_1980_C,Forecast_Additional_Change_From_Last_Observed_Year_C
Shifted exponential time trend,shifted_exp_time,full_data,2180,120.39442628114699,2021,0.84,119.55442628114699
Shifted exponential time trend,shifted_exp_time,full_data,2181,123.84885793572165,2021,0.84,123.00885793572165
Shifted exponential time trend,shifted_exp_time,full_data,2182,127.40215992278648,2021,0.84,126.56215992278648
Shifted exponential time trend,shifted_exp_time,full_data,2183,131.05716204001132,2021,0.84,130.21716204001132
Shifted exponential time trend,shifted_exp_time,full_data,2184,134.8167750775604,2021,0.84,133.9767750775604
Shifted exponential time trend,shifted_exp_time,full_data,2185,138.68399313620307,2021,0.84,137.84399313620307
Shifted exponential time trend,shifted_exp_time,full_data,2186,142.66189601177174,2021,0.84,141.82189601177174
Shifted exponential time trend,shifted_exp_time,full_data,2187,146.75365164786635,2021,0.84,145.91365164786635
Shifted exponential time trend,shifted_exp_time,full_data,2188,150.96251865875774,2021,0.84,150.12251865875774
Shifted exponential time trend,shifted_exp_time,full_data,2189,155.29184892450112,2021,0.84,154.45184892450112
Shifted exponential time trend,shifted_exp_time,full_data,2190,159.74509026032368,2021,0.84,158.90509026032368
Shifted exponential time trend,shifted_exp_time,full_data,2191,164.32578916241442,2021,0.84,163.48578916241442
Shifted exponential time trend,shifted_exp_time,full_data,2192,169.0375936323016,2021,0.84,168.1975936323016
Shifted exponential time trend,shifted_exp_time,full_data,2193,173.8842560820679,2021,0.84,173.0442560820679
Shifted exponential time trend,shifted_exp_time,full_data,2194,178.86963632271636,2021,0.84,178.02963632271636
Shifted exponential time trend,shifted_exp_time,full_data,2195,183.9977046380674,2021,0.84,183.1577046380674
Shifted exponential time trend,shifted_exp_time,full_data,2196,189.2725449466346,2021,0.84,188.4325449466346
Shifted exponential time trend,shifted_exp_time,full_data,2197,194.69835805399785,2021,0.84,193.85835805399785
Shifted exponential time trend,shifted_exp_time,full_data,2198,200.27946499826322,2021,0.84,199.43946499826322
Shifted exponential time trend,shifted_exp_time,full_data,2199,206.02031049127402,2021,0.84,205.180310491274
Shifted exponential time trend,shifted_exp_time,full_data,2200,211.9254664583152,2021,0.84,211.0854664583152
Shifted exponential time trend,shifted_exp_time,training_data,2022,1.1627707305025046,2021,0.84,0.3227707305025046
Shifted exponential time trend,shifted_exp_time,training_data,2023,1.2061644382369112,2021,0.84,0.36616443823691125
